Year_Month,Contract_region,Card_type,Trip
2016-08,Outer Sydney Metro Contract 4,School Student,55277
2016-08,Outer Sydney Metro Contract 4,Senior/Pensioner,27222
2016-08,Outer Sydney Metro Contract 5,Adult,113219
2016-08,Outer Sydney Metro Contract 5,Adult Single Bus Trip 1,9273
2016-08,Outer Sydney Metro Contract 5,Adult Single Bus Trip 2,12613
2016-08,Outer Sydney Metro Contract 5,Adult Single Bus Trip 3,3491
2016-08,Outer Sydney Metro Contract 5,Child/Youth,19385
2016-08,Outer Sydney Metro Contract 5,Child/Youth Single Bus Trip 1,1307
2016-08,Outer Sydney Metro Contract 5,Child/Youth Single Bus Trip 2,2442
2016-08,Outer Sydney Metro Contract 5,Child/Youth Single Bus Trip 3,667
2016-08,Outer Sydney Metro Contract 5,Concession,41108
2016-08,Outer Sydney Metro Contract 5,Employee,3334
2016-08,Outer Sydney Metro Contract 5,Free Travel,1162
2016-08,Outer Sydney Metro Contract 5,School Student,110239
2016-08,Outer Sydney Metro Contract 5,Senior/Pensioner,139526
2016-08,Outer Sydney Metro Contract 6,Adult,80237
2016-08,Outer Sydney Metro Contract 6,Adult Single Bus Trip 1,7410
2016-08,Outer Sydney Metro Contract 6,Adult Single Bus Trip 2,6588
2016-08,Outer Sydney Metro Contract 6,Adult Single Bus Trip 3,1893
2016-08,Outer Sydney Metro Contract 6,Child/Youth,17365
2016-08,Outer Sydney Metro Contract 6,Child/Youth Single Bus Trip 1,2128
2016-08,Outer Sydney Metro Contract 6,Child/Youth Single Bus Trip 2,2487
2016-08,Outer Sydney Metro Contract 6,Child/Youth Single Bus Trip 3,781
2016-08,Outer Sydney Metro Contract 6,Concession,16666
2016-08,Outer Sydney Metro Contract 6,Employee,1
2016-08,Outer Sydney Metro Contract 6,Free Travel,1507
2016-08,Outer Sydney Metro Contract 6,School Student,89946
2016-08,Outer Sydney Metro Contract 6,Senior/Pensioner,115397
2016-08,Outer Sydney Metro Contract 7,Adult,37010
2016-08,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,3782
2016-08,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,3118
2016-08,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,2490
2016-08,Outer Sydney Metro Contract 7,Child/Youth,12391
2016-08,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,1997
2016-08,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,1620
2016-08,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,1112
2016-08,Outer Sydney Metro Contract 7,Concession,8201
2016-08,Outer Sydney Metro Contract 7,Free Travel,693
2016-08,Outer Sydney Metro Contract 7,School Student,124270
2016-08,Outer Sydney Metro Contract 7,Senior/Pensioner,58744
2016-08,Outer Sydney Metro Contract 8,Adult,26221
2016-08,Outer Sydney Metro Contract 8,Adult Single Bus Trip 1,1465
2016-08,Outer Sydney Metro Contract 8,Adult Single Bus Trip 2,485
2016-08,Outer Sydney Metro Contract 8,Adult Single Bus Trip 3,88
2016-08,Outer Sydney Metro Contract 8,Child/Youth,7473
2016-08,Outer Sydney Metro Contract 8,Child/Youth Single Bus Trip 1,650
2016-08,Outer Sydney Metro Contract 8,Child/Youth Single Bus Trip 2,229
2016-08,Outer Sydney Metro Contract 8,Child/Youth Single Bus Trip 3,42
2016-08,Outer Sydney Metro Contract 8,Concession,1845
2016-08,Outer Sydney Metro Contract 8,Free Travel,103
2016-08,Outer Sydney Metro Contract 8,School Student,82259
