Year_Month,Route,Card_type,Trip
2017-01,F5 Neutral Bay,Employee,149
2017-01,F5 Neutral Bay,Free Travel,76
2017-01,F5 Neutral Bay,School Student,1
2017-01,F5 Neutral Bay,Senior/Pensioner,9708
2017-01,F5 Neutral Bay,Sgl Trip Ferry Adult,1248
2017-01,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,318
2017-01,F6 Mosman Bay,Adult,56086
2017-01,F6 Mosman Bay,Child/Youth,5776
2017-01,F6 Mosman Bay,Concession,1426
2017-01,F6 Mosman Bay,Employee,332
2017-01,F6 Mosman Bay,Free Travel,79
2017-01,F6 Mosman Bay,School Student,3
2017-01,F6 Mosman Bay,Senior/Pensioner,13209
2017-01,F6 Mosman Bay,Sgl Trip Ferry Adult,1705
2017-01,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,513
2017-01,F7 Eastern Suburbs,Adult,120926
2017-01,F7 Eastern Suburbs,Child/Youth,14079
2017-01,F7 Eastern Suburbs,Concession,2619
2017-01,F7 Eastern Suburbs,Employee,485
2017-01,F7 Eastern Suburbs,Free Travel,213
2017-01,F7 Eastern Suburbs,School Student,9
2017-01,F7 Eastern Suburbs,Senior/Pensioner,18851
2017-01,F7 Eastern Suburbs,Sgl Trip Ferry Adult,4328
2017-01,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,1158
2017-02,118 Newcastle,Adult,20864
2017-02,118 Newcastle,Child/Youth,2771
2017-02,118 Newcastle,Concession,915
2017-02,118 Newcastle,Employee,403
2017-02,118 Newcastle,Free Travel,285
2017-02,118 Newcastle,School Student,625
2017-02,118 Newcastle,Senior/Pensioner,8420
2017-02,F1 Manly,Adult,311624
2017-02,F1 Manly,Child/Youth,20435
2017-02,F1 Manly,Concession,9121
2017-02,F1 Manly,Employee,1846
2017-02,F1 Manly,Free Travel,663
2017-02,F1 Manly,School Student,361
2017-02,F1 Manly,Senior/Pensioner,60911
2017-02,F1 Manly,Sgl Trip Ferry Adult,30670
2017-02,F1 Manly,Sgl Trip Ferry Child/Youth,2428
2017-02,F2 Taronga Zoo,Adult,64125
2017-02,F2 Taronga Zoo,Child/Youth,6974
2017-02,F2 Taronga Zoo,Concession,2006
2017-02,F2 Taronga Zoo,Employee,252
2017-02,F2 Taronga Zoo,Free Travel,113
2017-02,F2 Taronga Zoo,School Student,11
2017-02,F2 Taronga Zoo,Senior/Pensioner,8635
2017-02,F2 Taronga Zoo,Sgl Trip Ferry Adult,4536
2017-02,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,621
2017-02,F3 Parramatta River,Adult,173710
2017-02,F3 Parramatta River,Child/Youth,10586
2017-02,F3 Parramatta River,Concession,4521
2017-02,F3 Parramatta River,Employee,833
2017-02,F3 Parramatta River,Free Travel,284
2017-02,F3 Parramatta River,School Student,545
2017-02,F3 Parramatta River,Senior/Pensioner,34470
2017-02,F3 Parramatta River,Sgl Trip Ferry Adult,7659
2017-02,F3 Parramatta River,Sgl Trip Ferry Child/Youth,1042
2017-02,F4 Darling Harbour,Adult,105617
2017-02,F4 Darling Harbour,Child/Youth,8544
2017-02,F4 Darling Harbour,Concession,2399
2017-02,F4 Darling Harbour,Employee,567
2017-02,F4 Darling Harbour,Free Travel,209
2017-02,F4 Darling Harbour,School Student,194
2017-02,F4 Darling Harbour,Senior/Pensioner,19768
2017-02,F4 Darling Harbour,Sgl Trip Ferry Adult,8155
2017-02,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,1043
2017-02,F5 Neutral Bay,Adult,36179
2017-02,F5 Neutral Bay,Child/Youth,1241
2017-02,F5 Neutral Bay,Concession,1027
2017-02,F5 Neutral Bay,Employee,189
2017-02,F5 Neutral Bay,Free Travel,70
2017-02,F5 Neutral Bay,School Student,32
2017-02,F5 Neutral Bay,Senior/Pensioner,9086
